item,name,location,country,countryLabel
http://www.wikidata.org/entity/Q3511498,Bayero University,Point(8.47944444 11.98055556),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q6381094,Kazi Nazrul University,Point(86.994916666 23.694747222),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q131252,University of Chicago,Point(-87.599722222 41.789722222),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1551183,Universitatea Regele Carol I din Cernăuți,Point(25.924444444 48.296944444),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q1551183,Чернівецький державний університет,Point(25.924444444 48.296944444),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q1551183,Franz-Josephs-Universität,Point(25.924444444 48.296944444),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q1551183,Universitatea Regele Carol I din Cernăuți,Point(25.924444444 48.296944444),http://www.wikidata.org/entity/Q28513,Austria-Hungary
http://www.wikidata.org/entity/Q1551183,Чернівецький державний університет,Point(25.924444444 48.296944444),http://www.wikidata.org/entity/Q28513,Austria-Hungary
http://www.wikidata.org/entity/Q1551183,Franz-Josephs-Universität,Point(25.924444444 48.296944444),http://www.wikidata.org/entity/Q28513,Austria-Hungary
http://www.wikidata.org/entity/Q21578,Princeton University,Point(-74.656111111 40.345277777),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q738236,新加坡国立大学,Point(103.776666666 1.295555555),http://www.wikidata.org/entity/Q334,Singapore
http://www.wikidata.org/entity/Q4748684,Amrita Vishwa Vidyapeetham,Point(76.90277778 10.90111111),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q1169487,University of Ibadan,Point(3.9003 7.4433),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q1169487,University of Ibadan,Point(3.9 7.441666666),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q9380725,Akademia WSB,Point(19.1906 50.3286),http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q41506,Leland Stanford Junior University,Point(-122.1688576 37.4282293),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q49116,Dartmouth College,Point(-72.288333333 43.703333333),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q489331,숭실대학교,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q489331,숭실전문학교,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q489331,숭실학당,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q489331,숭전대학교,Point(126.95627 37.496295),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q738236,Universiti Kebangsaan Singapura,Point(103.7763939 1.2966426),http://www.wikidata.org/entity/Q334,Singapore
http://www.wikidata.org/entity/Q738236,National University of Singapore,Point(103.776666666 1.295555555),http://www.wikidata.org/entity/Q334,Singapore
http://www.wikidata.org/entity/Q3291620,American University of Antigua,Point(-61.797355 17.158803),http://www.wikidata.org/entity/Q781,Antigua and Barbuda
http://www.wikidata.org/entity/Q497259,강원대학교,Point(127.74416667 37.86944444),http://www.wikidata.org/entity/Q884,South Korea
